"nombre","sku","categoriaId","impuestoId","costo","precioVenta","unidadMedida","stockInicial","stockMinimo","sucursalId"
"Producto JMeter 0034","JM-PROD-0034","3","2","64.78","94.58","Kilogramo","112","13","2"
"Producto JMeter 0035","JM-PROD-0035","3","2","65.95","85.74","Gramo","115","14","2"
"Producto JMeter 0036","JM-PROD-0036","3","2","67.12","89.94","Litro","118","15","2"
"Producto JMeter 0037","JM-PROD-0037","3","2","68.29","94.24","Metro","121","16","2"
"Producto JMeter 0038","JM-PROD-0038","3","2","69.46","98.63","Caja","124","17","2"
"Producto JMeter 0039","JM-PROD-0039","3","2","70.63","103.12","Paquete","127","18","2"
"Producto JMeter 0040","JM-PROD-0040","3","2","71.80","93.34","Docena","130","19","2"
"Producto JMeter 0041","JM-PROD-0041","3","2","72.97","97.78","Unidad","133","0","2"
"Producto JMeter 0042","JM-PROD-0042","3","2","74.14","102.31","Kilogramo","136","1","2"
"Producto JMeter 0043","JM-PROD-0043","3","2","75.31","106.94","Gramo","139","2","2"
"Producto JMeter 0044","JM-PROD-0044","3","2","76.48","111.66","Litro","142","3","2"
"Producto JMeter 0045","JM-PROD-0045","3","2","77.65","100.94","Metro","145","4","2"
"Producto JMeter 0046","JM-PROD-0046","3","2","78.82","105.62","Caja","148","5","2"
"Producto JMeter 0047","JM-PROD-0047","3","2","79.99","110.39","Paquete","11","6","2"
"Producto JMeter 0048","JM-PROD-0048","3","2","81.16","115.25","Docena","14","7","2"
"Producto JMeter 0049","JM-PROD-0049","3","2","82.33","120.20","Unidad","17","8","2"
"Producto JMeter 0050","JM-PROD-0050","3","2","83.50","108.55","Kilogramo","20","9","2"
"Producto JMeter 0051","JM-PROD-0051","3","2","84.67","113.46","Gramo","23","10","2"
"Producto JMeter 0052","JM-PROD-0052","3","2","85.84","118.46","Litro","26","11","2"
"Producto JMeter 0053","JM-PROD-0053","3","2","87.01","123.55","Metro","29","12","2"
"Producto JMeter 0054","JM-PROD-0054","3","2","88.18","128.74","Caja","32","13","2"
"Producto JMeter 0055","JM-PROD-0055","3","2","89.35","116.16","Paquete","35","14","2"
"Producto JMeter 0056","JM-PROD-0056","3","2","90.52","121.30","Docena","38","15","2"
"Producto JMeter 0057","JM-PROD-0057","3","2","91.69","126.53","Unidad","41","16","2"
"Producto JMeter 0058","JM-PROD-0058","3","2","92.86","131.86","Kilogramo","44","17","2"
"Producto JMeter 0059","JM-PROD-0059","3","2","94.03","137.28","Gramo","47","18","2"
"Producto JMeter 0060","JM-PROD-0060","3","2","95.20","123.76","Litro","50","19","2"
"Producto JMeter 0061","JM-PROD-0061","3","2","96.37","129.14","Metro","53","0","2"
"Producto JMeter 0062","JM-PROD-0062","3","2","97.54","134.61","Caja","56","1","2"
"Producto JMeter 0063","JM-PROD-0063","3","2","98.71","140.17","Paquete","59","2","2"
"Producto JMeter 0064","JM-PROD-0064","3","2","99.88","145.82","Docena","62","3","2"
"Producto JMeter 0065","JM-PROD-0065","3","2","101.05","131.36","Unidad","65","4","2"
"Producto JMeter 0066","JM-PROD-0066","3","2","102.22","136.97","Kilogramo","68","5","2"
"Producto JMeter 0067","JM-PROD-0067","3","2","103.39","142.68","Gramo","71","6","2"
"Producto JMeter 0068","JM-PROD-0068","3","2","104.56","148.48","Litro","74","7","2"
"Producto JMeter 0069","JM-PROD-0069","3","2","105.73","154.37","Metro","77","8","2"
"Producto JMeter 0070","JM-PROD-0070","3","2","106.90","138.97","Caja","80","9","2"
"Producto JMeter 0071","JM-PROD-0071","3","2","108.07","144.81","Paquete","83","10","2"
"Producto JMeter 0072","JM-PROD-0072","3","2","109.24","150.75","Docena","86","11","2"
"Producto JMeter 0073","JM-PROD-0073","3","2","110.41","156.78","Unidad","89","12","2"
"Producto JMeter 0074","JM-PROD-0074","3","2","111.58","162.91","Kilogramo","92","13","2"
"Producto JMeter 0075","JM-PROD-0075","3","2","112.75","146.58","Gramo","95","14","2"
"Producto JMeter 0076","JM-PROD-0076","3","2","113.92","152.65","Litro","98","15","2"
"Producto JMeter 0077","JM-PROD-0077","3","2","115.09","158.82","Metro","101","16","2"
"Producto JMeter 0078","JM-PROD-0078","3","2","116.26","165.09","Caja","104","17","2"
"Producto JMeter 0079","JM-PROD-0079","3","2","117.43","171.45","Paquete","107","18","2"
"Producto JMeter 0080","JM-PROD-0080","3","2","118.60","154.18","Docena","110","19","2"
"Producto JMeter 0081","JM-PROD-0081","3","2","119.77","160.49","Unidad","113","0","2"
"Producto JMeter 0082","JM-PROD-0082","3","2","120.94","166.90","Kilogramo","116","1","2"
"Producto JMeter 0083","JM-PROD-0083","3","2","122.11","173.40","Gramo","119","2","2"
"Producto JMeter 0084","JM-PROD-0084","3","2","123.28","179.99","Litro","122","3","2"
"Producto JMeter 0085","JM-PROD-0085","3","2","124.45","161.78","Metro","125","4","2"
"Producto JMeter 0086","JM-PROD-0086","3","2","125.62","168.33","Caja","128","5","2"
"Producto JMeter 0087","JM-PROD-0087","3","2","126.79","174.97","Paquete","131","6","2"
"Producto JMeter 0088","JM-PROD-0088","3","2","127.96","181.70","Docena","134","7","2"
"Producto JMeter 0089","JM-PROD-0089","3","2","129.13","188.53","Unidad","137","8","2"
"Producto JMeter 0090","JM-PROD-0090","3","2","130.30","169.39","Kilogramo","140","9","2"
"Producto JMeter 0091","JM-PROD-0091","3","2","131.47","176.17","Gramo","143","10","2"
"Producto JMeter 0092","JM-PROD-0092","3","2","132.64","183.04","Litro","146","11","2"
"Producto JMeter 0093","JM-PROD-0093","3","2","133.81","190.01","Metro","149","12","2"
"Producto JMeter 0094","JM-PROD-0094","3","2","134.98","197.07","Caja","12","13","2"
"Producto JMeter 0095","JM-PROD-0095","3","2","136.15","177.00","Paquete","15","14","2"
"Producto JMeter 0096","JM-PROD-0096","3","2","137.32","184.01","Docena","18","15","2"
"Producto JMeter 0097","JM-PROD-0097","3","2","138.49","191.12","Unidad","21","16","2"
"Producto JMeter 0098","JM-PROD-0098","3","2","139.66","198.32","Kilogramo","24","17","2"
"Producto JMeter 0099","JM-PROD-0099","3","2","140.83","205.61","Gramo","27","18","2"
"Producto JMeter 0100","JM-PROD-0100","3","2","142.00","184.60","Litro","30","19","2"
"Producto JMeter 0101","JM-PROD-0101","3","2","143.17","191.85","Metro","33","0","2"
"Producto JMeter 0102","JM-PROD-0102","3","2","144.34","199.19","Caja","36","1","2"
"Producto JMeter 0103","JM-PROD-0103","3","2","145.51","206.62","Paquete","39","2","2"
"Producto JMeter 0104","JM-PROD-0104","3","2","146.68","214.15","Docena","42","3","2"
"Producto JMeter 0105","JM-PROD-0105","3","2","147.85","192.20","Unidad","45","4","2"
"Producto JMeter 0106","JM-PROD-0106","3","2","149.02","199.69","Kilogramo","48","5","2"
"Producto JMeter 0107","JM-PROD-0107","3","2","150.19","207.26","Gramo","51","6","2"
"Producto JMeter 0108","JM-PROD-0108","3","2","151.36","214.93","Litro","54","7","2"
"Producto JMeter 0109","JM-PROD-0109","3","2","152.53","222.69","Metro","57","8","2"
"Producto JMeter 0110","JM-PROD-0110","3","2","153.70","199.81","Caja","60","9","2"
"Producto JMeter 0111","JM-PROD-0111","3","2","154.87","207.53","Paquete","63","10","2"
"Producto JMeter 0112","JM-PROD-0112","3","2","156.04","215.34","Docena","66","11","2"
"Producto JMeter 0113","JM-PROD-0113","3","2","157.21","223.24","Unidad","69","12","2"
"Producto JMeter 0114","JM-PROD-0114","3","2","158.38","231.23","Kilogramo","72","13","2"
"Producto JMeter 0115","JM-PROD-0115","3","2","159.55","207.42","Gramo","75","14","2"
"Producto JMeter 0116","JM-PROD-0116","3","2","160.72","215.36","Litro","78","15","2"
"Producto JMeter 0117","JM-PROD-0117","3","2","161.89","223.41","Metro","81","16","2"
"Producto JMeter 0118","JM-PROD-0118","3","2","163.06","231.55","Caja","84","17","2"
"Producto JMeter 0119","JM-PROD-0119","3","2","164.23","239.78","Paquete","87","18","2"
"Producto JMeter 0120","JM-PROD-0120","3","2","165.40","215.02","Docena","90","19","2"
"Producto JMeter 0121","JM-PROD-0121","3","2","166.57","223.20","Unidad","93","0","2"
"Producto JMeter 0122","JM-PROD-0122","3","2","167.74","231.48","Kilogramo","96","1","2"
"Producto JMeter 0123","JM-PROD-0123","3","2","168.91","239.85","Gramo","99","2","2"
"Producto JMeter 0124","JM-PROD-0124","3","2","170.08","248.32","Litro","102","3","2"
"Producto JMeter 0125","JM-PROD-0125","3","2","171.25","222.62","Metro","105","4","2"
"Producto JMeter 0126","JM-PROD-0126","3","2","172.42","231.04","Caja","108","5","2"
"Producto JMeter 0127","JM-PROD-0127","3","2","173.59","239.55","Paquete","111","6","2"
"Producto JMeter 0128","JM-PROD-0128","3","2","174.76","248.16","Docena","114","7","2"
"Producto JMeter 0129","JM-PROD-0129","3","2","175.93","256.86","Unidad","117","8","2"
"Producto JMeter 0130","JM-PROD-0130","3","2","177.10","230.23","Kilogramo","120","9","2"
"Producto JMeter 0131","JM-PROD-0131","3","2","178.27","238.88","Gramo","123","10","2"
"Producto JMeter 0132","JM-PROD-0132","3","2","179.44","247.63","Litro","126","11","2"
"Producto JMeter 0133","JM-PROD-0133","3","2","180.61","256.47","Metro","129","12","2"
"Producto JMeter 0134","JM-PROD-0134","3","2","181.78","265.40","Caja","132","13","2"
"Producto JMeter 0135","JM-PROD-0135","3","2","182.95","237.83","Paquete","135","14","2"
"Producto JMeter 0136","JM-PROD-0136","3","2","184.12","246.72","Docena","138","15","2"
"Producto JMeter 0137","JM-PROD-0137","3","2","185.29","255.70","Unidad","141","16","2"
"Producto JMeter 0138","JM-PROD-0138","3","2","186.46","264.77","Kilogramo","144","17","2"
"Producto JMeter 0139","JM-PROD-0139","3","2","187.63","273.94","Gramo","147","18","2"
"Producto JMeter 0140","JM-PROD-0140","3","2","188.80","245.44","Litro","10","19","2"
"Producto JMeter 0141","JM-PROD-0141","3","2","189.97","254.56","Metro","13","0","2"
"Producto JMeter 0142","JM-PROD-0142","3","2","191.14","263.77","Caja","16","1","2"
"Producto JMeter 0143","JM-PROD-0143","3","2","192.31","273.08","Paquete","19","2","2"
"Producto JMeter 0144","JM-PROD-0144","3","2","193.48","282.48","Docena","22","3","2"
"Producto JMeter 0145","JM-PROD-0145","3","2","194.65","253.04","Unidad","25","4","2"
"Producto JMeter 0146","JM-PROD-0146","3","2","195.82","262.40","Kilogramo","28","5","2"
"Producto JMeter 0147","JM-PROD-0147","3","2","196.99","271.85","Gramo","31","6","2"
"Producto JMeter 0148","JM-PROD-0148","3","2","198.16","281.39","Litro","34","7","2"
"Producto JMeter 0149","JM-PROD-0149","3","2","199.33","291.02","Metro","37","8","2"
"Producto JMeter 0150","JM-PROD-0150","3","2","200.50","260.65","Caja","40","9","2"
"Producto JMeter 0151","JM-PROD-0151","3","2","201.67","270.24","Paquete","43","10","2"
"Producto JMeter 0152","JM-PROD-0152","3","2","202.84","279.92","Docena","46","11","2"
"Producto JMeter 0153","JM-PROD-0153","3","2","204.01","289.69","Unidad","49","12","2"
"Producto JMeter 0154","JM-PROD-0154","3","2","205.18","299.56","Kilogramo","52","13","2"
"Producto JMeter 0155","JM-PROD-0155","3","2","206.35","268.26","Gramo","55","14","2"
"Producto JMeter 0156","JM-PROD-0156","3","2","207.52","278.08","Litro","58","15","2"
"Producto JMeter 0157","JM-PROD-0157","3","2","208.69","287.99","Metro","61","16","2"
"Producto JMeter 0158","JM-PROD-0158","3","2","209.86","298.00","Caja","64","17","2"
"Producto JMeter 0159","JM-PROD-0159","3","2","211.03","308.10","Paquete","67","18","2"
"Producto JMeter 0160","JM-PROD-0160","3","2","212.20","275.86","Docena","70","19","2"
"Producto JMeter 0161","JM-PROD-0161","3","2","213.37","285.92","Unidad","73","0","2"
"Producto JMeter 0162","JM-PROD-0162","3","2","214.54","296.07","Kilogramo","76","1","2"
"Producto JMeter 0163","JM-PROD-0163","3","2","215.71","306.31","Gramo","79","2","2"
"Producto JMeter 0164","JM-PROD-0164","3","2","216.88","316.64","Litro","82","3","2"
"Producto JMeter 0165","JM-PROD-0165","3","2","218.05","283.47","Metro","85","4","2"
"Producto JMeter 0166","JM-PROD-0166","3","2","219.22","293.75","Caja","88","5","2"
"Producto JMeter 0167","JM-PROD-0167","3","2","220.39","304.14","Paquete","91","6","2"
"Producto JMeter 0168","JM-PROD-0168","3","2","221.56","314.62","Docena","94","7","2"
"Producto JMeter 0169","JM-PROD-0169","3","2","222.73","325.19","Unidad","97","8","2"
"Producto JMeter 0170","JM-PROD-0170","3","2","223.90","291.07","Kilogramo","100","9","2"
"Producto JMeter 0171","JM-PROD-0171","3","2","225.07","301.59","Gramo","103","10","2"
"Producto JMeter 0172","JM-PROD-0172","3","2","226.24","312.21","Litro","106","11","2"
"Producto JMeter 0173","JM-PROD-0173","3","2","227.41","322.92","Metro","109","12","2"
"Producto JMeter 0174","JM-PROD-0174","3","2","228.58","333.73","Caja","112","13","2"
"Producto JMeter 0175","JM-PROD-0175","3","2","229.75","298.68","Paquete","115","14","2"
"Producto JMeter 0176","JM-PROD-0176","3","2","230.92","309.43","Docena","118","15","2"
"Producto JMeter 0177","JM-PROD-0177","3","2","232.09","320.28","Unidad","121","16","2"
"Producto JMeter 0178","JM-PROD-0178","3","2","233.26","331.23","Kilogramo","124","17","2"
"Producto JMeter 0179","JM-PROD-0179","3","2","234.43","342.27","Gramo","127","18","2"
"Producto JMeter 0180","JM-PROD-0180","3","2","235.60","306.28","Litro","130","19","2"
"Producto JMeter 0181","JM-PROD-0181","3","2","236.77","317.27","Metro","133","0","2"
"Producto JMeter 0182","JM-PROD-0182","3","2","237.94","328.36","Caja","136","1","2"
"Producto JMeter 0183","JM-PROD-0183","3","2","239.11","339.54","Paquete","139","2","2"
"Producto JMeter 0184","JM-PROD-0184","3","2","240.28","350.81","Docena","142","3","2"
"Producto JMeter 0185","JM-PROD-0185","3","2","241.45","313.88","Unidad","145","4","2"
"Producto JMeter 0186","JM-PROD-0186","3","2","242.62","325.11","Kilogramo","148","5","2"
"Producto JMeter 0187","JM-PROD-0187","3","2","243.79","336.43","Gramo","11","6","2"
"Producto JMeter 0188","JM-PROD-0188","3","2","244.96","347.84","Litro","14","7","2"
"Producto JMeter 0189","JM-PROD-0189","3","2","246.13","359.35","Metro","17","8","2"
"Producto JMeter 0190","JM-PROD-0190","3","2","247.30","321.49","Caja","20","9","2"
"Producto JMeter 0191","JM-PROD-0191","3","2","248.47","332.95","Paquete","23","10","2"
"Producto JMeter 0192","JM-PROD-0192","3","2","249.64","344.50","Docena","26","11","2"
"Producto JMeter 0193","JM-PROD-0193","3","2","250.81","356.15","Unidad","29","12","2"
"Producto JMeter 0194","JM-PROD-0194","3","2","251.98","367.89","Kilogramo","32","13","2"
"Producto JMeter 0195","JM-PROD-0195","3","2","253.15","329.10","Gramo","35","14","2"
"Producto JMeter 0196","JM-PROD-0196","3","2","254.32","340.79","Litro","38","15","2"
"Producto JMeter 0197","JM-PROD-0197","3","2","255.49","352.58","Metro","41","16","2"
"Producto JMeter 0198","JM-PROD-0198","3","2","256.66","364.46","Caja","44","17","2"
"Producto JMeter 0199","JM-PROD-0199","3","2","257.83","376.43","Paquete","47","18","2"
"Producto JMeter 0200","JM-PROD-0200","3","2","259.00","336.70","Docena","50","19","2"
"Producto JMeter 0201","JM-PROD-0201","3","2","260.17","348.63","Unidad","53","0","2"
"Producto JMeter 0202","JM-PROD-0202","3","2","261.34","360.65","Kilogramo","56","1","2"
"Producto JMeter 0203","JM-PROD-0203","3","2","262.51","372.76","Gramo","59","2","2"
"Producto JMeter 0204","JM-PROD-0204","3","2","263.68","384.97","Litro","62","3","2"
"Producto JMeter 0205","JM-PROD-0205","3","2","264.85","344.31","Metro","65","4","2"
"Producto JMeter 0206","JM-PROD-0206","3","2","266.02","356.47","Caja","68","5","2"
"Producto JMeter 0207","JM-PROD-0207","3","2","267.19","368.72","Paquete","71","6","2"
"Producto JMeter 0208","JM-PROD-0208","3","2","268.36","381.07","Docena","74","7","2"
"Producto JMeter 0209","JM-PROD-0209","3","2","269.53","393.51","Unidad","77","8","2"
"Producto JMeter 0210","JM-PROD-0210","3","2","270.70","351.91","Kilogramo","80","9","2"
"Producto JMeter 0211","JM-PROD-0211","3","2","271.87","364.31","Gramo","83","10","2"
"Producto JMeter 0212","JM-PROD-0212","3","2","273.04","376.80","Litro","86","11","2"
"Producto JMeter 0213","JM-PROD-0213","3","2","274.21","389.38","Metro","89","12","2"
"Producto JMeter 0214","JM-PROD-0214","3","2","275.38","402.05","Caja","92","13","2"
"Producto JMeter 0215","JM-PROD-0215","3","2","276.55","359.52","Paquete","95","14","2"
"Producto JMeter 0216","JM-PROD-0216","3","2","277.72","372.14","Docena","98","15","2"
"Producto JMeter 0217","JM-PROD-0217","3","2","278.89","384.87","Unidad","101","16","2"
"Producto JMeter 0218","JM-PROD-0218","3","2","280.06","397.69","Kilogramo","104","17","2"
"Producto JMeter 0219","JM-PROD-0219","3","2","281.23","410.60","Gramo","107","18","2"
"Producto JMeter 0220","JM-PROD-0220","3","2","282.40","367.12","Litro","110","19","2"
"Producto JMeter 0221","JM-PROD-0221","3","2","283.57","379.98","Metro","113","0","2"
"Producto JMeter 0222","JM-PROD-0222","3","2","284.74","392.94","Caja","116","1","2"
"Producto JMeter 0223","JM-PROD-0223","3","2","285.91","405.99","Paquete","119","2","2"
"Producto JMeter 0224","JM-PROD-0224","3","2","287.08","419.14","Docena","122","3","2"
"Producto JMeter 0225","JM-PROD-0225","3","2","288.25","374.72","Unidad","125","4","2"
"Producto JMeter 0226","JM-PROD-0226","3","2","289.42","387.82","Kilogramo","128","5","2"
"Producto JMeter 0227","JM-PROD-0227","3","2","290.59","401.01","Gramo","131","6","2"
"Producto JMeter 0228","JM-PROD-0228","3","2","291.76","414.30","Litro","134","7","2"
"Producto JMeter 0229","JM-PROD-0229","3","2","292.93","427.68","Metro","137","8","2"
"Producto JMeter 0230","JM-PROD-0230","3","2","294.10","382.33","Caja","140","9","2"
"Producto JMeter 0231","JM-PROD-0231","3","2","295.27","395.66","Paquete","143","10","2"
"Producto JMeter 0232","JM-PROD-0232","3","2","296.44","409.09","Docena","146","11","2"
"Producto JMeter 0233","JM-PROD-0233","3","2","297.61","422.61","Unidad","149","12","2"
"Producto JMeter 0234","JM-PROD-0234","3","2","298.78","436.22","Kilogramo","12","13","2"
"Producto JMeter 0235","JM-PROD-0235","3","2","299.95","389.94","Gramo","15","14","2"
"Producto JMeter 0236","JM-PROD-0236","3","2","301.12","403.50","Litro","18","15","2"
"Producto JMeter 0237","JM-PROD-0237","3","2","302.29","417.16","Metro","21","16","2"
"Producto JMeter 0238","JM-PROD-0238","3","2","303.46","430.91","Caja","24","17","2"
"Producto JMeter 0239","JM-PROD-0239","3","2","304.63","444.76","Paquete","27","18","2"
"Producto JMeter 0240","JM-PROD-0240","3","2","305.80","397.54","Docena","30","19","2"
"Producto JMeter 0241","JM-PROD-0241","3","2","306.97","411.34","Unidad","33","0","2"
"Producto JMeter 0242","JM-PROD-0242","3","2","308.14","425.23","Kilogramo","36","1","2"
"Producto JMeter 0243","JM-PROD-0243","3","2","309.31","439.22","Gramo","39","2","2"
"Producto JMeter 0244","JM-PROD-0244","3","2","310.48","453.30","Litro","42","3","2"
"Producto JMeter 0245","JM-PROD-0245","3","2","311.65","405.14","Metro","45","4","2"
"Producto JMeter 0246","JM-PROD-0246","3","2","312.82","419.18","Caja","48","5","2"
"Producto JMeter 0247","JM-PROD-0247","3","2","313.99","433.31","Paquete","51","6","2"
"Producto JMeter 0248","JM-PROD-0248","3","2","315.16","447.53","Docena","54","7","2"
"Producto JMeter 0249","JM-PROD-0249","3","2","316.33","461.84","Unidad","57","8","2"
"Producto JMeter 0250","JM-PROD-0250","3","2","317.50","412.75","Kilogramo","60","9","2"
"Producto JMeter 0251","JM-PROD-0251","3","2","318.67","427.02","Gramo","63","10","2"
"Producto JMeter 0252","JM-PROD-0252","3","2","319.84","441.38","Litro","66","11","2"
"Producto JMeter 0253","JM-PROD-0253","3","2","321.01","455.83","Metro","69","12","2"
"Producto JMeter 0254","JM-PROD-0254","3","2","322.18","470.38","Caja","72","13","2"
"Producto JMeter 0255","JM-PROD-0255","3","2","323.35","420.36","Paquete","75","14","2"
"Producto JMeter 0256","JM-PROD-0256","3","2","324.52","434.86","Docena","78","15","2"
"Producto JMeter 0257","JM-PROD-0257","3","2","325.69","449.45","Unidad","81","16","2"
"Producto JMeter 0258","JM-PROD-0258","3","2","326.86","464.14","Kilogramo","84","17","2"
"Producto JMeter 0259","JM-PROD-0259","3","2","328.03","478.92","Gramo","87","18","2"
"Producto JMeter 0260","JM-PROD-0260","3","2","329.20","427.96","Litro","90","19","2"
"Producto JMeter 0261","JM-PROD-0261","3","2","330.37","442.70","Metro","93","0","2"
"Producto JMeter 0262","JM-PROD-0262","3","2","331.54","457.53","Caja","96","1","2"
"Producto JMeter 0263","JM-PROD-0263","3","2","332.71","472.45","Paquete","99","2","2"
"Producto JMeter 0264","JM-PROD-0264","3","2","333.88","487.46","Docena","102","3","2"
"Producto JMeter 0265","JM-PROD-0265","3","2","335.05","435.57","Unidad","105","4","2"
"Producto JMeter 0266","JM-PROD-0266","3","2","336.22","450.53","Kilogramo","108","5","2"
"Producto JMeter 0267","JM-PROD-0267","3","2","337.39","465.60","Gramo","111","6","2"
"Producto JMeter 0268","JM-PROD-0268","3","2","338.56","480.76","Litro","114","7","2"
"Producto JMeter 0269","JM-PROD-0269","3","2","339.73","496.01","Metro","117","8","2"
"Producto JMeter 0270","JM-PROD-0270","3","2","340.90","443.17","Caja","120","9","2"
"Producto JMeter 0271","JM-PROD-0271","3","2","342.07","458.37","Paquete","123","10","2"
"Producto JMeter 0272","JM-PROD-0272","3","2","343.24","473.67","Docena","126","11","2"
"Producto JMeter 0273","JM-PROD-0273","3","2","344.41","489.06","Unidad","129","12","2"
"Producto JMeter 0274","JM-PROD-0274","3","2","345.58","504.55","Kilogramo","132","13","2"
"Producto JMeter 0275","JM-PROD-0275","3","2","346.75","450.78","Gramo","135","14","2"
"Producto JMeter 0276","JM-PROD-0276","3","2","347.92","466.21","Litro","138","15","2"
"Producto JMeter 0277","JM-PROD-0277","3","2","349.09","481.74","Metro","141","16","2"
"Producto JMeter 0278","JM-PROD-0278","3","2","350.26","497.37","Caja","144","17","2"
"Producto JMeter 0279","JM-PROD-0279","3","2","351.43","513.09","Paquete","147","18","2"
"Producto JMeter 0280","JM-PROD-0280","3","2","352.60","458.38","Docena","10","19","2"
"Producto JMeter 0281","JM-PROD-0281","3","2","353.77","474.05","Unidad","13","0","2"
"Producto JMeter 0282","JM-PROD-0282","3","2","354.94","489.82","Kilogramo","16","1","2"
"Producto JMeter 0283","JM-PROD-0283","3","2","356.11","505.68","Gramo","19","2","2"
"Producto JMeter 0284","JM-PROD-0284","3","2","357.28","521.63","Litro","22","3","2"
"Producto JMeter 0285","JM-PROD-0285","3","2","358.45","465.98","Metro","25","4","2"
"Producto JMeter 0286","JM-PROD-0286","3","2","359.62","481.89","Caja","28","5","2"
"Producto JMeter 0287","JM-PROD-0287","3","2","360.79","497.89","Paquete","31","6","2"
"Producto JMeter 0288","JM-PROD-0288","3","2","361.96","513.98","Docena","34","7","2"
"Producto JMeter 0289","JM-PROD-0289","3","2","363.13","530.17","Unidad","37","8","2"
"Producto JMeter 0290","JM-PROD-0290","3","2","364.30","473.59","Kilogramo","40","9","2"
"Producto JMeter 0291","JM-PROD-0291","3","2","365.47","489.73","Gramo","43","10","2"
"Producto JMeter 0292","JM-PROD-0292","3","2","366.64","505.96","Litro","46","11","2"
"Producto JMeter 0293","JM-PROD-0293","3","2","367.81","522.29","Metro","49","12","2"
"Producto JMeter 0294","JM-PROD-0294","3","2","368.98","538.71","Caja","52","13","2"
"Producto JMeter 0295","JM-PROD-0295","3","2","370.15","481.20","Paquete","55","14","2"
"Producto JMeter 0296","JM-PROD-0296","3","2","371.32","497.57","Docena","58","15","2"
"Producto JMeter 0297","JM-PROD-0297","3","2","372.49","514.04","Unidad","61","16","2"
"Producto JMeter 0298","JM-PROD-0298","3","2","373.66","530.60","Kilogramo","64","17","2"
"Producto JMeter 0299","JM-PROD-0299","3","2","374.83","547.25","Gramo","67","18","2"
"Producto JMeter 0300","JM-PROD-0300","3","2","376.00","488.80","Litro","70","19","2"
"Producto JMeter 0301","JM-PROD-0301","3","2","377.17","505.41","Metro","73","0","2"
"Producto JMeter 0302","JM-PROD-0302","3","2","378.34","522.11","Caja","76","1","2"
"Producto JMeter 0303","JM-PROD-0303","3","2","379.51","538.90","Paquete","79","2","2"
